subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev
NA	2	labels - 30 up - Confiture de FRAISE 2023-05-27.doc	NA	NA	NA	NA	NA	WARNING	DOCX_FILENAME_SPACES	filename contains a space: please replace with _ or -	labels[ ]-[ ]30[ ]up[ ]-[ ]Confiture[ ]de[ ]FRAISE[ ]2023-05-27.doc	NA
NA	3	NA	new proposal.xls	NA	NA	NA	NA	WARNING	XLSX_FILENAME_SPACES	filename contains a space: please replace with _ or -	new[ ]proposal.xls	NA
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	5	Move	species	Rhizidiomyces virus	INFO	XLSX.CURVY_DOUBLE_QUOTES_REPLACED	XLSX has curvy quotes	"srcGenus:Rhizi[d]iovirus (replacing with '""')"	NA
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	5	Move	species	Rhizidiomyces virus	INFO	XLSX.QUOTES_REMOVED	XLSX has quote	"srcGenus:Rhizi[""]iovirus (replacing with '')"	NA
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	5	Move	species	Rhizidiomyces virus	INFO	XLSX.CURVY_DOUBLE_QUOTES_REPLACED	XLSX has curvy quotes	"srcSpecies:Rhizi[d]iomyces virus (replacing with '""')"	NA
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	5	Move	species	Rhizidiomyces virus	INFO	XLSX.QUOTES_REMOVED	XLSX has quote	"srcSpecies:Rhizi[""]iomyces virus (replacing with '')"	NA
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	5	Move	species	Rhizidiomyces virus	INFO	XLSX.CURVY_DOUBLE_QUOTES_REPLACED	XLSX has curvy quotes	"genus:NewRhizi[d]iovirus (replacing with '""')"	NA
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	6	Create new	genus	NewRhizidiovirus	INFO	XLSX.CURVY_DOUBLE_QUOTES_REPLACED	XLSX has curvy quotes	"genus:NewRhizi[d]iovirus (replacing with '""')"	NA
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	7	Create new	subgenus	NewSubRhizidiovirus	INFO	XLSX.CURVY_DOUBLE_QUOTES_REPLACED	XLSX has curvy quotes	"genus:NewRhizi[d]iovirus (replacing with '""')"	NA
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	8	Create new	species	NotBinomial Rhizidiomyces virus	INFO	XLSX.CURVY_DOUBLE_QUOTES_REPLACED	XLSX has curvy quotes	"genus:NewRhizi[d]iovirus (replacing with '""')"	NA
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	5	Move	species	Rhizidiomyces virus	INFO	XLSX.QUOTES_REMOVED	XLSX has quote	"genus:NewRhizi[""]iovirus (replacing with '')"	NA
Archaeal viruses (A) proposals	2023.002A	MISSING	2023.002A.N.v4.create_subgenus_move_sp_create_sp.xlsx	6	Create new	genus	NewRhizidiovirus	INFO	XLSX.QUOTES_REMOVED	XLSX has quote	"genus:NewRhizi[""]iovirus (replacing with '')"	NA
